,Year,Selling Price,Kilometer_Driven,Fuel Type,Seller Type,Transmission,Owner,Brand Name,Model Name
850,1999,85000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Zen LXI
851,2001,52000,50000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro LP zipPlus
852,2017,1200000,50000,Diesel,Individual,Automatic,First Owner,Tata,Hexa XTA
853,2011,450000,60000,Petrol,Individual,Automatic,Third Owner,Hyundai,Verna 1.6 SX VTVT AT
854,2018,615000,40000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire VXI 1.2 BS IV
855,2012,400000,60000,Diesel,Individual,Manual,Second Owner,Maruti,SX4 ZDI Leather
856,2013,60000,40000,Petrol,Individual,Manual,First Owner,Tata,Nano LX
857,2017,500000,9161,Petrol,Individual,Manual,First Owner,Maruti,Ignis 1.2 Alpha BSIV
858,2015,600000,45000,Petrol,Individual,Manual,First Owner,Honda,Mobilio V i VTEC
859,2010,110000,110000,Petrol,Individual,Manual,First Owner,Hyundai,Getz 1.3 GVS
860,2013,175000,80000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing GL Plus
861,2011,325000,100000,Diesel,Individual,Manual,Second Owner,Ford,Fiesta Titanium 1.5 TDCi
862,2017,425000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire LDI
863,2009,160000,70000,CNG,Individual,Manual,Third Owner,Hyundai,Accent GLE CNG
864,2007,100000,80000,Petrol,Individual,Manual,Third Owner,Maruti,Zen Estilo LXI BSIII
865,2014,390000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire LDI
866,2017,400000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2 Spotz
867,2018,509999,5000,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron XM
868,2008,150000,90000,Petrol,Individual,Manual,Third Owner,Hyundai,i10 Magna 1.1
869,2009,110000,120000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing GLS
870,2013,450000,80000,Diesel,Individual,Manual,First Owner,Nissan,Sunny Diesel XV
871,2017,400000,38000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 1.2 Spotz
872,2009,140000,120000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing GLS
873,2011,130000,90000,Diesel,Individual,Manual,First Owner,Tata,Indigo CR4
874,2017,160000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
875,2016,150000,60000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
876,2013,500000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,XUV500 W8 2WD
877,2011,40000,19000,Petrol,Individual,Manual,First Owner,Tata,Nano Std
878,2006,140000,200000,Diesel,Individual,Manual,Third Owner,Chevrolet,Tavera LT L1 7 Seats BSIII
879,2015,227000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,Verito 1.5 D2 BSIV
880,2011,285000,50000,Diesel,Individual,Manual,Second Owner,Maruti,Swift VDI
881,2012,155000,19077,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
882,2016,210000,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON D Lite
883,2009,140000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi
884,2015,940000,128000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 GX (Diesel) 7 Seater
885,2013,750000,80000,Diesel,Individual,Manual,First Owner,Nissan,Terrano XV Premium 110 PS
886,2016,610000,100000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Alpha 1.3
887,2015,450000,50000,Diesel,Individual,Manual,First Owner,Nissan,Sunny XV D Premium Leather
888,2012,409999,56000,Diesel,Individual,Manual,First Owner,Toyota,Etios Liva GD
889,2018,100000,21302,Petrol,Individual,Manual,First Owner,Hyundai,EON 1.0 Era Plus
890,2018,300000,10500,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT Optional
891,2013,400000,107000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero 2011-2019 SLX
892,2010,210000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Sportz 1.2
893,2006,90000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XG eRLX Euro III
894,2010,222000,70000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI BS IV
895,2015,240000,50000,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800 LXI
896,2013,450000,70000,Diesel,Individual,Manual,Second Owner,Toyota,Etios Liva GD
897,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,Renault,Duster 85PS Diesel RxL
898,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,C-Class Progressive C 220d
899,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,Audi,A4 3.0 TDI Quattro
900,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,BMW,X5 xDrive 30d xLine
901,2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX
902,2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
903,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
904,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
905,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
906,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
907,2016,239000,41000,Petrol,Dealer,Manual,First Owner,Chevrolet,Beat LT Option
908,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,Toyota,Fortuner 4x2 AT
909,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
910,2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
911,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,Audi,A6 2.0 TDI Premium Plus
912,2005,80000,56580,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GS
913,2012,385000,52000,Diesel,Dealer,Manual,First Owner,Skoda,Laura Ambiente 2.0 TDI CR MT
914,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
915,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
916,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,Renault,Duster 85PS Diesel RxL
917,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,C-Class Progressive C 220d
918,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,Audi,A4 3.0 TDI Quattro
919,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,BMW,X5 xDrive 30d xLine
920,2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX
921,2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
922,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
923,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
924,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
925,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
926,2016,239000,41000,Petrol,Dealer,Manual,First Owner,Chevrolet,Beat LT Option
927,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,Toyota,Fortuner 4x2 AT
928,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
929,2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
930,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,Audi,A6 2.0 TDI Premium Plus
931,2005,80000,56580,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GS
932,2012,385000,52000,Diesel,Dealer,Manual,First Owner,Skoda,Laura Ambiente 2.0 TDI CR MT
933,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
934,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
935,2012,735000,55300,Diesel,Dealer,Automatic,First Owner,Volkswagen,Jetta 2.0L TDI Highline AT
936,2012,285000,74300,Diesel,Dealer,Manual,First Owner,Tata,Indica Vista Quadrajet 90 VX
937,2010,350000,48781,Petrol,Dealer,Manual,First Owner,Honda,City VX MT
938,2010,290000,87620,Diesel,Dealer,Automatic,First Owner,Volkswagen,Jetta 1.9 Highline TDI
939,2017,890000,40219,Diesel,Dealer,Automatic,First Owner,Volkswagen,Vento 1.5 TDI Highline Plus AT
940,2011,385000,11473,Petrol,Dealer,Manual,First Owner,Honda,Jazz VX
941,2017,425000,8352,Petrol,Dealer,Manual,First Owner,Maruti,Eeco 5 Seater AC BSIV
942,2017,525000,9745,Petrol,Dealer,Automatic,First Owner,Maruti,Wagon R VXI AMT1.2BSIV
943,2017,550000,9748,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 Asta
944,2012,271000,49000,Petrol,Dealer,Manual,First Owner,Volkswagen,Polo 1.0 MPI Trendline
945,2018,1490000,20694,Diesel,Dealer,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX Option
946,2015,490000,31080,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 Asta Option
947,2014,260000,37605,Petrol,Dealer,Manual,First Owner,Hyundai,EON Era Plus
948,2014,455000,55850,Diesel,Dealer,Manual,First Owner,Hyundai,Xcent 1.1 CRDi SX Option
949,2010,75000,58850,Petrol,Dealer,Manual,First Owner,Tata,Nano Lx BSIV
950,2015,421000,23839,Petrol,Dealer,Manual,First Owner,Toyota,Etios Cross 1.2L G
951,2016,550000,54000,Diesel,Dealer,Manual,First Owner,Maruti,Swift DDiS LDI
952,2013,330000,38000,Petrol,Dealer,Automatic,First Owner,Hyundai,i10 Sportz 1.2 AT
953,2012,390000,45454,Diesel,Dealer,Manual,First Owner,Volkswagen,Vento 1.5 TDI Comfortline
954,2015,599000,46957,Diesel,Dealer,Automatic,First Owner,Skoda,Rapid 1.5 TDI AT Ambition
955,2007,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,Getz GLE
956,2016,250000,25000,Petrol,Individual,Manual,First Owner,Renault,KWID RXT Optional
957,2012,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,Scorpio M2DI
958,2008,280000,190000,Diesel,Individual,Manual,Second Owner,Ford,Endeavour XLT TDCi 4X2
959,2018,2700000,25000,Diesel,Individual,Automatic,First Owner,Audi,Q3 35 TDI Quattro Technology
960,2008,80000,90000,Petrol,Individual,Manual,First Owner,Mahindra,Renault Logan 1.4 GLX Petrol
961,2019,350000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI
962,2015,475000,60000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI BSIV
963,2020,4700000,1500,Diesel,Individual,Automatic,First Owner,Audi,A5 Sportback
964,2018,500000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI
965,2014,250000,120000,Diesel,Individual,Manual,First Owner,Chevrolet,Sail Hatchback 1.3 TCDi LT ABS
966,2005,100000,120000,Diesel,Individual,Manual,Second Owner,Hyundai,Accent CRDi
967,2019,350000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI Airbag
968,2014,4000000,47000,Diesel,Individual,Automatic,First Owner,BMW,7 Series Signature 730Ld
969,2017,1900000,20000,Petrol,Individual,Automatic,First Owner,Toyota,Camry 2.5 Hybrid
970,2005,95000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XG
971,2015,409999,58000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi Sportz
972,2018,1050000,35000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W5 BSIV
973,2017,320000,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI
974,2019,1000000,10000,Diesel,Individual,Manual,First Owner,Mahindra,XUV300 W8 Option Diesel BSIV
975,2017,1770000,25000,Diesel,Individual,Manual,First Owner,Toyota,Innova Crysta 2.4 VX MT BSIV
976,2018,950000,20000,Diesel,Individual,Manual,First Owner,Mahindra,Thar CRDe
977,2018,750000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire ZDI
978,2014,220000,42000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
979,2017,1000000,50000,Diesel,Individual,Manual,First Owner,Tata,Hexa XM
980,2017,660000,116000,Diesel,Individual,Manual,First Owner,Honda,Mobilio E i DTEC
981,2015,716000,100000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga ZDI
982,2015,675000,66000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz ZXi Plus
983,2010,385000,110000,Diesel,Individual,Manual,Third Owner,Mahindra,Scorpio LX
984,2014,325000,70000,Diesel,Individual,Manual,First Owner,Fiat,Grande Punto EVO 1.3 Dynamic
985,2015,950000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX Option
986,2007,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,Ford,Endeavour Hurricane Limited Edition
987,2014,250000,25000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista TDI LS
988,2018,4000000,68000,Petrol,Individual,Automatic,First Owner,Land,Rover Discovery S 2.0 SD4
989,2014,210000,20000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
990,2011,147000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Era 1.1 iTech SE
991,2018,725000,26350,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza VDi Option
992,2012,550000,90000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio SLE BSIV
993,2016,475000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Sportz Option 1.2
994,2014,250000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing GLS
995,2006,70000,60000,Petrol,Individual,Manual,Second Owner,Tata,Indica LSI
996,2012,160000,70000,Petrol,Individual,Manual,Third Owner,Hyundai,EON Era Plus
997,2011,1000000,90000,Diesel,Individual,Automatic,Second Owner,Ford,Endeavour 3.0L 4X4 AT
998,2001,68000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Santro LE zipPlus
999,2017,500000,26500,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta
1000,2013,170000,60000,Diesel,Individual,Manual,First Owner,Tata,Indigo CR4
1001,2018,1300000,35000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio S11 BSIV
1002,2020,1050000,10000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.4 EX Diesel
1003,2009,300000,15000,Petrol,Individual,Manual,First Owner,Maruti,Ritz LXI
1004,2016,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna 1.2
1005,2017,900000,50000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6 SX
1006,2019,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz BSIV
1007,2007,100000,52000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
1008,2017,400000,15000,Petrol,Individual,Manual,First Owner,Honda,Brio 1.2 S MT
1009,2011,120000,20000,Petrol,Individual,Manual,First Owner,Tata,Nano Lx
1010,2013,300000,90000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta 1.4 CRDi
1011,2011,140000,60000,Diesel,Individual,Manual,Second Owner,Tata,Indigo LX
1012,2015,640000,23000,Petrol,Individual,Manual,First Owner,Skoda,Rapid 1.6 MPI Ambition With Alloy Wheel
1013,2018,380000,22155,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI
1014,2011,120000,20000,Petrol,Individual,Manual,First Owner,Tata,Nano Lx
1015,2018,650000,70000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz 1.4 Delta
1016,2009,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
1017,2018,550000,35000,Petrol,Individual,Manual,First Owner,Ford,Figo Aspire 1.2 Ti-VCT Trend
1018,2012,650000,71042,Diesel,Dealer,Manual,First Owner,Mahindra,XUV500 W8 4WD
1019,2012,1025000,167870,Diesel,Dealer,Manual,Second Owner,Mitsubishi,Pajero Sport 4X4
1020,2011,195000,133564,Diesel,Dealer,Manual,First Owner,Ford,Fiesta 1.5 TDCi Titanium
1021,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,C-Class Progressive C 220d
1022,2013,1490000,40000,Diesel,Dealer,Automatic,First Owner,BMW,3 Series 320d Sport
1023,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,BMW,X5 xDrive 30d xLine
1024,2018,1140000,23038,Petrol,Trustmark Dealer,Automatic,First Owner,Honda,City i-VTEC CVT ZX
1025,2011,95000,70000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel LS
1026,2017,3050000,30000,Diesel,Individual,Automatic,First Owner,BMW,3 Series GT Luxury Line
1027,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
1028,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
1029,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
1030,2016,239000,41000,Petrol,Dealer,Manual,First Owner,Chevrolet,Beat LT Option
1031,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,Toyota,Fortuner 4x2 AT
1032,2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
1033,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,Audi,A6 2.0 TDI Premium Plus
1034,2017,585000,43608,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Baleno Delta 1.2
1035,2018,825000,11212,Petrol,Trustmark Dealer,Automatic,First Owner,Maruti,Baleno Alpha CVT
1036,2013,280000,52000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 1.4 Magna Executive
1037,2016,725000,49217,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Baleno Zeta
1038,2015,300000,90000,Diesel,Individual,Manual,First Owner,Mahindra,Verito 1.5 D4 BSIV
1039,2015,375000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa S
1040,2003,310000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Honda,City VTEC
1041,2011,375000,190000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Dzire VDi
1042,2016,1950000,106000,Diesel,Individual,Automatic,First Owner,Ford,Endeavour 3.2 Titanium AT 4X4
1043,2012,400000,80000,Diesel,Individual,Manual,Second Owner,Tata,Xenon XT EX 4X2
1044,2014,550000,80000,Diesel,Individual,Manual,Second Owner,Nissan,Terrano XL Plus 85 PS
1045,2018,270000,20000,Petrol,Individual,Manual,First Owner,Maruti,Eeco 7 Seater Standard BSIV
1046,2012,555000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga ZDI
1047,2013,500000,60000,Diesel,Individual,Manual,Second Owner,Ford,Ecosport 1.5 DV5 MT Ambiente
1048,2010,400000,130000,Diesel,Individual,Automatic,Second Owner,Skoda,Laura Elegance 1.9 TDI AT
1049,2017,280000,28838,Petrol,Individual,Manual,First Owner,Hyundai,EON 1.0 Era Plus
1050,2008,80000,200000,Petrol,Individual,Manual,First Owner,Tata,Indica GLS BS IV
1051,2006,55000,100000,Diesel,Individual,Manual,First Owner,Tata,Indica DLS
1052,2014,250000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI Airbag
1053,2010,250000,190000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,Bolero SLX 2WD
1054,2007,95000,100000,Diesel,Individual,Manual,Second Owner,Mahindra,Jeep MM 540
1055,2014,725000,135000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio 1.99 S10
1056,2015,320000,50000,Diesel,Individual,Manual,Third Owner,Mahindra,Bolero Power Plus Plus AC BSIV PS
1057,2014,1200000,135000,Diesel,Individual,Automatic,Third Owner,Skoda,Octavia Elegance 2.0 TDI AT
1058,2012,160000,50000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel LS
1059,2018,790000,19571,Diesel,Dealer,Manual,First Owner,Honda,Jazz 1.5 VX i DTEC
1060,2018,1200000,29600,Petrol,Dealer,Manual,First Owner,Honda,City i-VTEC ZX
1061,2011,175000,70000,Petrol,Individual,Manual,First Owner,Maruti,Swift LXI
1062,2018,950000,15000,Diesel,Individual,Automatic,First Owner,Maruti,Vitara Brezza ZDi Plus AMT Dual Tone
1063,2019,340000,50000,Petrol,Individual,Manual,First Owner,Maruti,Celerio LXI MT BSIV
1064,2017,825000,13500,Diesel,Individual,Manual,First Owner,Renault,Captur 1.5 Diesel RXT
1065,2018,3100000,22000,Petrol,Individual,Automatic,First Owner,Audi,A4 30 TFSI Technology
1066,2018,780000,25000,Diesel,Dealer,Manual,First Owner,Honda,Amaze VX Diesel BSIV
1067,2010,350000,80000,Petrol,Individual,Automatic,Third Owner,Toyota,Corolla Altis 1.8 VL AT
1068,2018,690000,39000,Petrol,Dealer,Manual,First Owner,Honda,Amaze VX Petrol BSIV
1069,2016,245000,60000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
1070,2018,790000,49000,Diesel,Dealer,Manual,First Owner,Honda,Amaze VX Diesel BSIV
1071,2018,680000,48600,Petrol,Dealer,Manual,First Owner,Honda,Amaze VX i-VTEC
1072,2017,540000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,Grand i10 Asta Option
1073,2016,425000,25000,Petrol,Individual,Manual,First Owner,Mahindra,KUV 100 mFALCON G80 K2
1074,2008,140000,120000,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo Sports
1075,2019,1100000,30000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga ZDI Plus
1076,2015,715000,35000,Diesel,Individual,Manual,First Owner,Renault,Lodgy 85PS RxL
1077,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,Audi,A4 3.0 TDI Quattro
1078,2015,1750000,127643,Diesel,Dealer,Automatic,First Owner,Audi,Q3 2.0 TDI Quattro Premium Plus
1079,2018,400000,54000,Petrol,Dealer,Manual,Second Owner,Tata,Zest Revotron 1.2T XMS
1080,2014,1750000,102354,Diesel,Dealer,Automatic,First Owner,Audi,A6 2.0 TDI Design Edition
1081,2014,1850000,62237,Petrol,Dealer,Automatic,First Owner,Audi,Q5 2.0 TFSI Quattro Premium Plus
1082,2005,114999,90000,Petrol,Dealer,Manual,Second Owner,Hyundai,Santro Xing XL eRLX Euro III
1083,2018,950000,21394,Diesel,Dealer,Manual,First Owner,Ford,EcoSport 1.5 TDCi Titanium BSIV
1084,2015,310000,32686,Petrol,Dealer,Manual,First Owner,Datsun,GO T Petrol
1085,2006,575000,1001,Diesel,Dealer,Manual,First Owner,Mahindra,Jeep CJ 500 DI
1086,2017,490000,22000,Diesel,Dealer,Manual,First Owner,Renault,Pulse RxZ
1087,2017,480000,53261,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 Magna
1088,2016,3500000,53000,Diesel,Dealer,Automatic,First Owner,Land,Rover Discovery Sport SD4 HSE Luxury
1089,2018,370000,10000,Petrol,Dealer,Manual,First Owner,Renault,KWID 1.0 RXT Optional
1090,2017,835000,14000,Diesel,Dealer,Manual,First Owner,Maruti,Baleno Alpha 1.3
1091,2017,650000,44000,Petrol,Dealer,Manual,First Owner,Volkswagen,Polo 2015-2019 1.2 MPI Highline
1092,2014,670000,39895,Diesel,Dealer,Manual,First Owner,Toyota,Etios VD
1093,2017,950000,73000,Diesel,Dealer,Automatic,First Owner,Chevrolet,Cruze LTZ AT
1094,2014,690000,17000,Petrol,Dealer,Manual,First Owner,Honda,City i-VTEC SV
1095,2017,670000,18591,Petrol,Dealer,Manual,First Owner,Volkswagen,Polo 2015-2019 1.2 MPI Highline
1096,2017,925000,26766,Diesel,Dealer,Manual,First Owner,Tata,Nexon 1.5 Revotorq XZ
1097,2015,250000,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
1098,2016,509999,42000,Diesel,Individual,Manual,First Owner,Tata,Sumo Gold EX
1099,2014,520000,110000,Diesel,Individual,Manual,First Owner,Honda,City i DTEC VX
1100,2005,100000,100000,Diesel,Individual,Manual,First Owner,Tata,Indica DLE
1101,2006,85000,300000,Diesel,Individual,Manual,Second Owner,Tata,Indica DLS
1102,2009,130000,110000,Diesel,Individual,Manual,Third Owner,Tata,Indigo LX
1103,2018,950000,27620,Diesel,Dealer,Manual,First Owner,Ford,EcoSport 1.5 TDCi Titanium BSIV
1104,2015,450000,70000,Petrol,Individual,Manual,First Owner,Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus
1105,2012,320000,50000,Petrol,Individual,Manual,Second Owner,Honda,City S
1106,2015,480000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI
1107,2014,2490000,46000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,New C-Class C 220 CDI Grand Edition
1108,2012,790000,82000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 VX 8 STR
1109,2016,120000,120000,Petrol,Individual,Manual,First Owner,Maruti,Omni MPI STD BSIV
1110,2006,75000,80000,Petrol,Individual,Manual,Third Owner,Maruti,Alto LXi
1111,2010,99000,70000,Petrol,Individual,Manual,First Owner,Tata,Indica GLS BS IV
1112,2018,1015000,20000,Diesel,Individual,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
1113,2013,250000,200000,Diesel,Individual,Manual,Second Owner,Mahindra,Xylo D4 BSIV
1114,2011,520000,120000,Diesel,Individual,Manual,First Owner,Toyota,Innova Crysta 2.5 VX BS IV
1115,2018,1100000,30000,Diesel,Individual,Automatic,First Owner,Hyundai,Verna CRDi 1.6 AT SX Option
1116,2005,200000,223000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 V Diesel 7-seater
1117,2016,525000,60000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI
1118,2016,500000,40000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Asta 1.2
1119,2016,675000,161327,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio S2 7 Seater
1120,2009,150000,60000,Petrol,Individual,Manual,Third Owner,Hyundai,i10 Magna 1.2 iTech SE
1121,2007,250000,50000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero DI
1122,2018,450000,6000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz BSIV
1123,2009,150000,68000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XS
1124,2012,200000,85000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel LS
1125,2011,525000,70000,Diesel,Individual,Automatic,First Owner,Mahindra,Scorpio VLS AT 2.2 mHAWK
1126,1999,60000,35000,Petrol,Individual,Manual,Second Owner,Maruti,Esteem VX
1127,2010,180000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Vdi BSIII
1128,2015,475000,110000,Diesel,Individual,Manual,First Owner,Honda,Amaze S i-Dtech
1129,2010,380000,195000,Diesel,Individual,Automatic,Second Owner,Mahindra,Scorpio VLS AT 2.2 mHAWK
1130,2015,285000,46000,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800 LXI
1131,2008,91200,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi BSIII
